City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Faanui,PF,-16.48,-151.75,80.02,69,0,4.61,clear sky
138,Kamenka,RU,51.32,42.77,44.01,91,0,7.16,clear sky
139,Hithadhoo,MV,-0.6,73.08,82.98,71,27,5.39,scattered clouds
140,Saint-Philippe,RE,-21.36,55.77,69.8,73,0,5.82,clear sky
141,Svetlogorsk,BY,52.63,29.73,45.77,91,47,5.06,scattered clouds
142,Cabo San Lucas,MX,22.89,-109.91,93.2,49,20,3.36,few clouds
143,Tautira,PF,-17.73,-149.15,82.4,69,75,8.05,shower rain
144,San Patricio,US,28.02,-97.52,84.0,69,75,14.99,broken clouds
145,Voh,NC,-20.97,164.7,74.79,76,1,5.12,clear sky
146,Oranjemund,NA,-28.55,16.43,59.16,84,35,18.75,scattered clouds
147,Yellowknife,CA,62.46,-114.35,28.99,74,75,8.05,broken clouds
148,Torbay,CA,47.67,-52.73,44.6,93,90,24.16,light rain
149,Awbari,LY,26.59,12.78,70.05,30,0,6.76,clear sky
150,Zomin,UZ,39.96,68.4,46.18,55,0,0.6,clear sky
151,Pauini,BR,-7.71,-66.98,79.92,84,100,4.94,overcast clouds
152,Xinzhou,CN,38.41,112.73,53.1,56,18,1.19,few clouds
153,Yumen,CN,40.28,97.2,32.45,81,61,10.78,broken clouds
154,Elat,IL,29.56,34.95,82.4,65,0,4.7,clear sky
155,Coahuayana,MX,18.73,-103.68,84.2,70,20,9.17,few clouds
156,Taoudenni,ML,22.68,-3.98,88.47,12,0,7.29,clear sky
157,Saint-Leu,RE,-21.15,55.28,69.8,73,0,5.82,clear sky
158,Lasa,IT,46.62,10.7,54.0,87,75,5.82,broken clouds
159,Yaan,NG,7.38,8.57,76.77,87,100,4.03,overcast clouds
160,Carnarvon,AU,-24.87,113.63,69.8,88,75,17.22,broken clouds
161,Hofn,IS,64.25,-15.21,43.93,77,100,13.44,overcast clouds
162,Safaga,EG,26.73,33.94,78.8,50,0,8.05,clear sky
163,Mineros,BO,-17.12,-63.23,93.2,52,75,24.16,broken clouds
164,Kitgum,UG,3.28,32.89,68.5,91,98,4.14,moderate rain
165,Anadyr,RU,64.75,177.48,23.0,100,90,4.47,light snow
166,Lagoa,PT,39.05,-27.98,64.09,63,23,6.04,few clouds
167,Tahoua,NE,14.89,5.27,86.65,13,0,7.0,clear sky
168,Nassjo,SE,57.65,14.7,50.0,100,100,11.41,drizzle
169,Llandrindod Wells,GB,52.24,-3.38,44.01,92,0,8.34,clear sky
170,Bol,TD,13.46,14.71,84.43,38,9,13.73,clear sky
171,Dalbandin,PK,28.89,64.41,54.82,34,0,5.66,clear sky
172,Kahului,US,20.89,-156.47,87.8,52,20,4.7,few clouds
173,Meulaboh,ID,4.14,96.13,76.24,82,100,3.53,overcast clouds
174,Saint-Pierre,RE,-21.34,55.48,69.8,73,0,5.82,clear sky
175,Valdemarpils,LV,57.37,22.59,51.8,93,0,9.17,clear sky
176,Grand Gaube,MU,-20.01,57.66,70.0,90,41,3.0,light rain
177,Kolokani,ML,13.57,-8.03,80.69,19,0,5.39,clear sky
178,East London,ZA,-33.02,27.91,67.42,71,97,2.75,overcast clouds
179,Nantucket,US,41.28,-70.1,51.8,62,40,17.22,scattered clouds
180,Shelburne,CA,44.08,-80.2,46.99,60,20,5.82,few clouds
181,Alofi,NU,-19.06,-169.92,75.69,82,100,17.72,light rain
182,Williston,US,48.15,-103.62,21.2,73,90,16.11,overcast clouds
183,Tura,IN,25.52,90.22,69.04,95,0,2.04,clear sky
184,Caravelas,BR,-17.71,-39.25,73.62,96,100,6.44,moderate rain
185,San Cristobal,VE,7.77,-72.22,86.0,58,40,11.41,scattered clouds
186,Menongue,AO,-14.66,17.69,72.88,21,0,4.34,clear sky
187,Castro,BR,-24.79,-50.01,72.75,72,1,2.77,clear sky
188,Sechura,PE,-5.56,-80.82,75.36,55,98,15.12,overcast clouds
189,Alice Springs,AU,-23.7,133.88,59.0,38,0,11.41,clear sky
190,Saldanha,ZA,-33.01,17.94,60.8,72,47,9.17,scattered clouds
191,Sao Filipe,CV,14.9,-24.5,83.1,60,90,17.52,overcast clouds
192,Kaitangata,NZ,-46.28,169.85,48.0,89,100,1.25,overcast clouds
193,Palm Coast,US,29.59,-81.21,84.99,66,1,8.05,clear sky
194,Hashimoto,JP,34.32,135.62,55.4,82,100,8.05,overcast clouds
195,Ucluelet,CA,48.93,-125.55,46.99,57,75,3.36,broken clouds
196,Uthal,PK,25.81,66.62,72.48,47,0,0.56,clear sky
197,Bowen,AU,-20.02,148.23,69.8,94,4,3.04,clear sky
198,Termoli,IT,41.99,14.99,57.0,74,0,7.0,light rain
199,Sola,VU,-13.88,167.55,79.83,82,5,18.1,clear sky
200,Lanzhou,CN,36.06,103.79,52.0,34,56,4.27,broken clouds
201,Pevek,RU,69.7,170.31,26.78,97,100,7.36,overcast clouds
202,Qasigiannguit,GL,68.82,-51.19,15.8,52,54,6.93,broken clouds
203,Sibu,MY,2.3,111.82,75.2,94,40,2.24,scattered clouds
204,Xinyang,CN,32.12,114.07,61.34,58,87,1.01,overcast clouds
