City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Manta,EC,2020-10-25 03:03:15,-0.95,-80.73,71.6,83,90,4.7
97,Huangzhou,CN,2020-10-25 03:03:15,30.45,114.8,66.2,45,96,6.71
98,Antalaha,MG,2020-10-25 03:01:07,-14.9,50.28,71.4,83,34,6.24
99,Chifeng,CN,2020-10-25 03:01:16,42.27,118.96,56.46,33,40,2.84
100,Nikolskoye,RU,2020-10-25 02:58:11,59.7,30.79,39.2,86,90,4.47
101,Staroutkinsk,RU,2020-10-25 03:03:16,57.23,59.33,38.64,93,100,7.87
102,Jamestown,US,2020-10-25 02:56:33,42.1,-79.24,41.0,86,90,5.35
103,Nogliki,RU,2020-10-25 03:03:17,51.83,143.17,47.44,79,65,10.29
104,Ostersund,SE,2020-10-25 02:57:34,63.18,14.64,32.0,98,100,12.75
105,Oros,BR,2020-10-25 03:03:17,-6.24,-38.91,79.41,68,34,8.84
106,Yulara,AU,2020-10-25 02:58:40,-25.24,130.99,73.4,27,0,17.22
107,Evensk,RU,2020-10-25 02:57:08,61.95,159.23,35.28,83,93,12.75
108,Sumter,US,2020-10-25 03:03:18,28.71,-82.08,75.0,93,1,3.0
109,Ponta Do Sol,PT,2020-10-25 02:57:30,32.67,-17.1,64.4,72,20,5.82
110,Hualmay,PE,2020-10-25 02:59:06,-11.1,-77.61,62.37,83,89,7.61
111,Bambous Virieux,MU,2020-10-25 02:58:02,-20.34,57.76,70.0,88,75,12.75
112,Lebu,CL,2020-10-25 02:52:31,-37.62,-73.65,48.11,81,0,3.29
113,Shitanjing,CN,2020-10-25 03:03:19,39.23,106.34,53.67,41,100,6.46
114,Port Alfred,ZA,2020-10-25 02:57:21,-33.59,26.89,64.81,90,0,7.65
115,Ciudad Bolivar,VE,2020-10-25 03:03:19,8.12,-63.55,78.94,80,24,7.85
116,Adrar,MR,2020-10-25 02:58:42,20.5,-10.07,84.27,14,89,5.28
117,Kaitangata,NZ,2020-10-25 02:57:50,-46.28,169.85,64.6,69,100,8.32
118,Thompson,CA,2020-10-25 02:55:23,55.74,-97.86,21.2,85,75,5.82
119,Salalah,OM,2020-10-25 02:57:54,17.02,54.09,71.6,46,0,2.24
120,Westport,US,2020-10-25 02:57:29,41.14,-73.36,51.01,82,68,13.42
121,Carnarvon,AU,2020-10-25 02:57:55,-24.87,113.63,75.2,78,90,18.34
122,Te Anau,NZ,2020-10-25 02:58:36,-45.42,167.72,58.21,90,100,1.88
123,Qaanaaq,GL,2020-10-25 02:57:46,77.48,-69.36,17.78,93,100,13.4
124,Hamilton,US,2020-10-25 02:57:51,39.18,-84.53,46.99,72,68,1.99
125,Ryotsu,JP,2020-10-25 02:58:19,38.08,138.43,59.0,77,40,18.34
126,Meulaboh,ID,2020-10-25 02:58:25,4.14,96.13,74.59,93,100,5.99
127,Whitehorse,CA,2020-10-25 03:00:04,60.72,-135.05,21.2,62,75,11.41
128,Bambanglipuro,ID,2020-10-25 02:59:39,-7.95,110.28,83.66,73,68,9.98
129,Hit,IQ,2020-10-25 03:03:22,33.64,42.83,64.67,27,0,4.99
130,Hofn,IS,2020-10-25 02:59:01,64.25,-15.21,44.37,80,35,19.39
131,Saskylakh,RU,2020-10-25 02:58:10,71.92,114.08,11.39,94,100,18.57
132,Padang,ID,2020-10-25 02:58:20,-0.95,100.35,82.35,69,68,3.56
133,Saldanha,ZA,2020-10-25 02:57:33,-33.01,17.94,60.8,77,0,3.36
134,Ribeira Grande,PT,2020-10-25 02:58:19,38.52,-28.7,65.98,75,100,12.06
135,Khatanga,RU,2020-10-25 02:58:00,71.97,102.5,7.23,95,100,14.03
136,Namikupa,TZ,2020-10-25 03:03:24,-10.83,39.6,69.62,94,45,2.55
137,Boguchany,RU,2020-10-25 03:03:24,58.38,97.45,29.82,92,70,8.77
138,Chokurdakh,RU,2020-10-25 02:58:26,70.63,147.92,13.5,96,42,7.49
139,Port Elizabeth,ZA,2020-10-25 02:57:20,-33.92,25.57,60.8,93,0,3.36
140,Pacific Grove,US,2020-10-25 02:56:32,36.62,-121.92,61.0,77,40,4.7
141,Ahipara,NZ,2020-10-25 02:59:05,-35.17,173.17,68.45,64,40,7.76
142,Lorengau,PG,2020-10-25 02:57:13,-2.02,147.27,86.31,60,41,7.07
143,Santa Cecilia,BR,2020-10-25 03:03:25,-26.96,-50.43,59.04,100,100,2.37
144,Oranjestad,AW,2020-10-25 02:54:26,12.52,-70.03,84.2,79,20,17.22
145,Honiara,SB,2020-10-25 02:57:26,-9.43,159.95,87.8,74,20,8.05
146,Gryazovets,RU,2020-10-25 03:03:26,58.88,40.25,31.57,98,100,5.17
147,Jevargi,IN,2020-10-25 03:03:26,17.02,76.77,79.09,71,0,4.83
148,Madera,US,2020-10-25 03:02:09,37.17,-119.83,62.01,52,0,4.65
149,Verkhnevilyuysk,RU,2020-10-25 02:57:29,63.45,120.32,27.79,93,93,4.83
150,Tautira,PF,2020-10-25 03:02:11,-17.73,-149.15,80.6,74,75,5.82
151,Sitka,US,2020-10-25 02:59:04,57.05,-135.33,37.4,55,90,3.36
152,Chepareria,KE,2020-10-25 03:03:27,1.31,35.2,63.84,79,82,1.97
153,Dixon,US,2020-10-25 03:03:27,38.45,-121.82,62.6,59,1,4.7
154,Yar-Sale,RU,2020-10-25 02:58:31,66.83,70.83,15.19,96,10,7.09
155,Airai,TL,2020-10-25 02:55:39,-8.93,125.41,81.3,47,73,2.21
156,Barreirinhas,BR,2020-10-25 03:03:28,-2.75,-42.83,81.09,76,74,10.92
157,Lavrentiya,RU,2020-10-25 02:53:16,65.58,-171.0,34.18,88,7,9.6
158,Horsham,GB,2020-10-25 03:03:28,51.06,-0.33,51.01,93,0,6.93
159,Manggar,ID,2020-10-25 03:03:28,-2.88,108.27,84.78,70,100,5.77
160,Gilbues,BR,2020-10-25 03:00:38,-9.83,-45.34,73.67,79,100,1.45
161,Obidos,BR,2020-10-25 03:03:29,-1.92,-55.52,80.53,50,65,2.86
162,Vardo,NO,2020-10-25 02:58:24,70.37,31.11,39.09,74,100,18.1
163,Morant Bay,JM,2020-10-25 03:03:29,17.88,-76.41,82.4,83,75,14.99
164,Mwandiga,TZ,2020-10-25 03:03:30,-4.83,29.66,74.03,75,100,3.51
165,Guarapari,BR,2020-10-25 03:03:30,-20.67,-40.5,75.0,94,100,13.27
166,Luderitz,NA,2020-10-25 02:58:28,-26.65,15.16,62.92,58,45,17.34
167,Kaitong,CN,2020-10-25 03:03:31,44.81,123.15,49.55,46,52,5.75
168,Dunedin,NZ,2020-10-25 02:57:06,-45.87,170.5,66.83,59,100,9.13
169,Sikonge,TZ,2020-10-25 03:03:32,-5.63,32.77,70.43,60,41,6.76
170,Ketchikan,US,2020-10-25 03:03:04,55.34,-131.65,42.8,59,1,5.82
171,Mehamn,NO,2020-10-25 03:01:18,71.04,27.85,37.17,79,98,12.48
172,Porto Santo,PT,2020-10-25 03:01:21,33.07,-16.34,62.6,72,20,6.93
173,Bandarbeyla,SO,2020-10-25 02:59:22,9.49,50.81,75.63,76,67,3.27
174,Bonavista,CA,2020-10-25 02:58:36,48.65,-53.11,48.0,81,100,10.0
175,Clermont,FR,2020-10-25 03:03:33,49.5,2.42,55.4,87,99,19.46
176,Kavaratti,IN,2020-10-25 02:59:35,10.57,72.64,81.81,69,0,6.15
177,Cabo San Lucas,MX,2020-10-25 02:58:34,22.89,-109.91,81.0,69,5,11.14
178,Kieta,PG,2020-10-25 03:00:02,-6.22,155.63,84.29,74,81,7.74
179,Victoria,HK,2020-10-25 02:54:48,22.29,114.16,78.01,61,84,5.01
180,Longyearbyen,SJ,2020-10-25 02:57:30,78.22,15.64,21.2,85,75,2.17
181,Caravelas,BR,2020-10-25 02:58:06,-17.71,-39.25,75.2,87,100,6.96
182,Pevek,RU,2020-10-25 02:57:26,69.7,170.31,28.42,90,0,16.73
183,Sheregesh,RU,2020-10-25 03:03:35,52.92,87.99,22.28,88,3,5.23
184,Gaoua,BF,2020-10-25 03:02:10,10.3,-3.25,73.58,46,36,3.38
185,Esperance,AU,2020-10-25 02:57:25,-33.87,121.9,66.2,52,0,12.75
186,Torit,SS,2020-10-25 03:03:36,4.41,32.57,71.82,82,1,1.81
187,Beringovskiy,RU,2020-10-25 02:59:02,63.05,179.32,31.3,95,98,13.22
188,Kalmunai,LK,2020-10-25 03:03:36,7.42,81.82,84.15,66,100,3.47
189,Hambantota,LK,2020-10-25 02:58:51,6.12,81.12,82.4,78,20,5.82
190,Corn Island,NI,2020-10-25 03:03:37,12.17,-83.04,83.19,78,96,8.59
191,Brainerd,US,2020-10-25 03:03:37,46.36,-94.2,26.6,63,1,5.82
192,Chuy,UY,2020-10-25 02:58:08,-33.7,-53.46,61.88,97,8,5.41
193,San Patricio,US,2020-10-25 02:57:52,28.02,-97.52,70.0,63,1,4.65
194,Lampang,TH,2020-10-25 03:03:37,18.33,99.5,82.99,66,84,0.49
195,Saint Anthony,US,2020-10-25 02:59:20,45.02,-93.22,30.2,58,1,4.7
196,Bom Jesus,BR,2020-10-25 03:03:38,-9.07,-44.36,74.82,73,100,1.77
197,Constitucion,CL,2020-10-25 02:59:45,-35.33,-72.42,52.25,87,84,9.42
198,Acajutla,SV,2020-10-25 02:59:36,13.59,-89.83,71.01,100,89,2.8
199,Comodoro Rivadavia,AR,2020-10-25 03:01:19,-45.87,-67.5,60.8,72,0,2.24
200,Luhyny,UA,2020-10-25 03:03:39,51.08,28.4,45.84,96,28,5.23
201,Saint-Philippe,RE,2020-10-25 02:57:40,-21.36,55.77,68.0,52,0,5.82
202,Severo-Kurilsk,RU,2020-10-25 02:57:34,50.68,156.12,48.16,87,97,3.6
203,Severodvinsk,RU,2020-10-25 03:03:39,64.56,39.83,32.0,92,75,4.47
204,Santa Rosa,PH,2020-10-25 02:59:08,14.31,121.11,84.2,79,40,9.17
