City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
546,Port-Gentil,GA,80.6,broken clouds,-0.72,8.78,Fengshui Residence
553,Chanthaburi,TH,77.0,light rain,12.83,102.17,Home Valley Station Garden River.
554,Casa Grande,US,84.0,clear sky,32.88,-111.76,Holiday Inn Casa Grande
558,Berbera,SO,84.07,clear sky,10.44,45.01,Damal Hotel
559,Chirongui,YT,77.0,clear sky,-12.93,45.15,La Villa Mahatsara
560,Irece,BR,85.1,light rain,-11.3,-41.86,RADAR INN HOTEL
575,Maragogi,BR,78.06,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
577,Sinnamary,GF,84.33,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
580,Panama City,PA,87.8,scattered clouds,8.99,-79.52,Trump International Hotel & Tower Panama
581,Beirut,LB,78.8,clear sky,33.89,35.49,Crowne Plaza Beirut
583,Nabire,ID,75.09,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
585,Veraval,IN,81.82,clear sky,20.9,70.37,Lords Inn Somnath
587,Jizan,SA,87.8,clear sky,17.33,42.67,شهدان. ابوالحجر
589,Santa Fe Do Sul,BR,88.34,overcast clouds,-20.21,-50.93,Litani Park Hotel - Hotel Santa Fé do Sul
592,Kirakira,SB,80.24,light rain,-10.45,161.92,SanBiz Lodge
597,Souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
598,Tucuma,BR,88.52,overcast clouds,-0.18,-50.05,
600,Aloleng,PH,81.46,light rain,16.13,119.78,Agno Umbrella Rocks
601,Garowe,SO,77.65,clear sky,8.41,48.48,Curubo Hotel
603,Grajau,BR,85.32,light rain,-5.82,-46.14,Hotel Confiança
607,Samarai,PG,80.29,light rain,-10.62,150.67,Nuli Sapi
612,Dire,ML,78.6,clear sky,12.28,-10.97,
615,Teknaf,BD,77.43,clear sky,20.86,92.31,Magnum Engineering & Construction
619,Xique-Xique,BR,87.24,broken clouds,-10.82,-42.73,Hotel J. Macedo
622,Padang,ID,78.15,moderate rain,-0.95,100.35,Mercure Padang
627,Venezuela,VE,86.43,light rain,8.0,-66.0,
629,Looc,PH,78.44,heavy intensity rain,12.26,121.99,Cummings Highlands
630,Chiredzi,ZW,77.97,clear sky,-21.05,31.67,The Nesbitt Arms
635,Bairiki,KI,80.6,few clouds,1.33,172.98,Tarawa Boutique Hotel
640,Santa Cruz Cabralia,BR,77.0,light rain,-16.28,-39.02,Portobali Hotel
646,Mana,GF,84.4,overcast clouds,5.66,-53.78,LE SAMANA
647,Mecca,SA,78.21,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
648,Annamalainagar,IN,80.49,overcast clouds,11.4,79.73,Hotel Akshaya
656,Bodden Town,KY,80.6,broken clouds,19.28,-81.25,Will T Place
657,Jobabo,CU,87.8,broken clouds,20.97,-76.3,Casa de Héctor Infante
